id;timestamp;category;product;brand;size;price;availability
0633d9fd9a3271730fae687f105c7a3a;2019-11-12 00:46:19 0000;Juices;B Natural Dakshin Pink Guava  (750 ml);B Natural;750 ml Plastic Bottle;95;TRUE
8687c5317c6629f89fe62e0233563246;2019-11-28 00:31:50 0000;Chocolates & Sweets;Parle Melody Chocolaty Toffee  (195.5 g);Parle;195.5 g;50;TRUE
cf7eeba428641c14e43aa18ada1b5491;2019-11-04 00:48:32 0000;Household Care|Pet Food;Whiskas Adult (+1 year) Fish 3 kg Dry Cat Food;Whiskas;3 kg;680;TRUE
9eb4d8359a3cbe7af6c5ac1c3149940e;2019-11-26 00:33:04 0000;Creams, Lotions, Skin Care;Enchanteur Romantic Perfumed Body Lotion  (250 ml);Enchanteur;250 ml;182;TRUE
b84c9f6fc53da0c6921147063d894703;2019-11-24 00:32:29 0000;Hair Care;Pantene Hair Fall Control Shampoo  (180 ml);Pantene;180 ml;112;TRUE
096350720c2fe81c4c9072948d7eb974;2019-11-14 00:47:41 0000;Paper & Disposables;Flipkart Supermart Home Essentials 1 Ply White Napkins  (Buy 1 Get 1 Free)  (100 Sheets);Flipkart Supermart Home Essentials;100 Sheets;69;TRUE
34d8d69d604d50aacc5a9399d8f3f08a;2019-11-24 00:25:13 0000;Masalas & Spices;Suhana Biryani Masala  (100 g);Suhana;100 g;107;TRUE
e4e1e86be08e49eb95569b5e3a015b4f;2019-11-23 03:08:55 0000;Masalas & Spices;Soul Punjabi Chole Instant Masala Mix  (65 g);Soul;65 g;49;TRUE
ebc85283940eb693bf66a2a2d21be8b6;2019-11-26 00:32:17 0000;Soaps & Body Wash;Himalaya Fresh Start Oil Clear Strawberry Face Wash  (100 ml);Himalaya;100 ml;126;TRUE
44dc833822a0a77db439d22fd372c481;2019-11-28 00:25:24 0000;Atta & Flours;Flipkart Supermart Select Chiroti Rawa  (1 kg);Flipkart Supermart Select;1 kg;57;TRUE
3f54512a0f816a109c4fe099481bdef5;2019-11-25 00:27:48 0000;Chocolates & Sweets;m&m's Milk Chocolate Truffles  (100 g);m&m's;100 g;147;TRUE
7636e4cd0899c95c009b2199c97be45b;2019-11-11 00:32:25 0000;Baking;Bluebird Superfine Self Rising Flour Powder  (500 g);Bluebird;500 g;49;TRUE
c0c0364684e6d117e72d0bea6888331f;2019-11-07 00:30:25 0000;Ready To Cook;Del Monte Cocktail Fruits  (439 g);Del Monte;1;127;TRUE
6a27074f7ba8fdcc79166f403bb6ec06;2019-11-15 00:25:21 0000;Masalas & Spices;Eastern Amchur Powder  (100 g);Eastern;100 g;34;TRUE
